f,ReportedAddress,CrossStreet,Town,State,concate,ReportedDate,Endingleakgrade,Endingleakgradenumber
6015776,1070 BEDFORD ST,,ABINGTON,MA,"1070 BEDFORD ST ABINGTON, MA",9/9/2015,3,3
1505591,11 ADLEY DR,,ABINGTON,MA,"11 ADLEY DR ABINGTON, MA",9/26/2013,3,3
7333066,123 CATHERINE DR,,ABINGTON,MA,"123 CATHERINE DR ABINGTON, MA",4/5/2017,3,3
7321083,1233 WASHINGTON ST,,ABINGTON,MA,"1233 WASHINGTON ST ABINGTON, MA",9/10/2015,3,3
251670,1241 WASHINGTON ST,,ABINGTON,MA,"1241 WASHINGTON ST ABINGTON, MA",9/26/2003,3,3
7323314,138 RANDOLPH ST,,ABINGTON,MA,"138 RANDOLPH ST ABINGTON, MA",8/1/2014,3,3
7337464,140 CHESTNUT ST,,ABINGTON,MA,"140 CHESTNUT ST ABINGTON, MA",8/14/2017,3,3
1740971,141 CHAPEL ST,,ABINGTON,MA,"141 CHAPEL ST ABINGTON, MA",9/3/2014,3,3
2950638,16 HARRISON AVE,,ABINGTON,MA,"16 HARRISON AVE ABINGTON, MA",1/31/2015,3,3
851846,177 CENTRAL ST,,ABINGTON,MA,"177 CENTRAL ST ABINGTON, MA",4/18/2012,3,3
1505600,177 MARGARET RD,,ABINGTON,MA,"177 MARGARET RD ABINGTON, MA",9/26/2013,3,3
321520,18 WASHINGTON ST,,ABINGTON,MA,"18 WASHINGTON ST ABINGTON, MA",4/14/2009,3,3
235571,21 WALKER LN,,ABINGTON,MA,"21 WALKER LN ABINGTON, MA",9/10/2002,3,3
7345234,222 LINWOOD ST,,ABINGTON,MA,"222 LINWOOD ST ABINGTON, MA",6/28/2018,3,3
303321,238 WASHINGTON ST,,ABINGTON,MA,"238 WASHINGTON ST ABINGTON, MA",8/8/2007,3,3
7323312,240 NORTH AVE,,ABINGTON,MA,"240 NORTH AVE ABINGTON, MA",8/19/2014,3,3
7323307,262 ADAMS ST,,ABINGTON,MA,"262 ADAMS ST ABINGTON, MA",8/19/2014,3,3
266424,27 HIGHLAND ST,,ABINGTON,MA,"27 HIGHLAND ST ABINGTON, MA",9/30/2004,3,3
7323315,27 ROCKLAND ST,,ABINGTON,MA,"27 ROCKLAND ST ABINGTON, MA",9/10/2014,3,3
7349726,32 ASHLAND ST,,ABINGTON,MA,"32 ASHLAND ST ABINGTON, MA",12/1/2018,3,3
7324345,32 CLIFF ST,,ABINGTON,MA,"32 CLIFF ST ABINGTON, MA",1/12/2013,3,3
330597,383 ROCKLAND ST,,ABINGTON,MA,"383 ROCKLAND ST ABINGTON, MA",2/3/2010,3,3
287402,4 CHRISTIANSON CIR,,ABINGTON,MA,"4 CHRISTIANSON CIR ABINGTON, MA",4/20/2006,3,3
220341,4 PINE ST,,ABINGTON,MA,"4 PINE ST ABINGTON, MA",8/15/2001,3,3
7349727,428 HIGH ST,,ABINGTON,MA,"428 HIGH ST ABINGTON, MA",12/1/2018,3,3
346527,431 HANCOCK ST,,ABINGTON,MA,"431 HANCOCK ST ABINGTON, MA",5/10/2011,3,3
7341628,45 PEREGRINE RD,,ABINGTON,MA,"45 PEREGRINE RD ABINGTON, MA",2/5/2018,3,3
7327655,467 RANDOLPH ST,,ABINGTON,MA,"467 RANDOLPH ST ABINGTON, MA",7/13/2016,3,3
652840,533 WASHINGTON ST,,ABINGTON,MA,"533 WASHINGTON ST ABINGTON, MA",12/19/2011,3,3
277784,55 MARGARET RD,,ABINGTON,MA,"55 MARGARET RD ABINGTON, MA",8/2/2005,3,3
7337467,57 PEARL ST,,ABINGTON,MA,"57 PEARL ST ABINGTON, MA",8/18/2017,3,3
150431,571 RANDOLPH ST,,ABINGTON,MA,"571 RANDOLPH ST ABINGTON, MA",5/24/1999,3,3
7323313,62 PLAIN ST,,ABINGTON,MA,"62 PLAIN ST ABINGTON, MA",8/18/2014,3,3
